filename,greedy,aco,dynamic,,,,,
schedule_0001.csv,0.000545,37.684444,0.388813,,,,,
schedule_0002.csv,0.000764,42.24629,0.278477,,,,,
schedule_0003.csv,0.000756,36.741538,0.253804,,,,,
schedule_0004.csv,0.000836,38.687346,0.24956,,,,,
schedule_0005.csv,0.00057,35.48775,0.244211,,,,,
schedule_0006.csv,0.000557,39.069887,0.243311,,,,,
schedule_0007.csv,0.000545,36.302972,0.23953,,,,,
schedule_0008.csv,0.000581,35.789185,0.221429,,,,,
schedule_0009.csv,0.000572,36.809634,0.243305,,,,,
schedule_0010.csv,0.000548,39.656651,0.229372,,,,,
schedule_0011.csv,0.000518,35.971353,0.26692,,,,,
schedule_0012.csv,0.000528,36.453755,0.273083,,,,,
schedule_0013.csv,0.001197,37.842521,0.245553,,,,,
schedule_0014.csv,0.000554,33.607942,0.320084,,,,,
schedule_0015.csv,0.000537,35.647767,0.329634,,,,,
schedule_0016.csv,0.000763,39.201282,0.208477,,,,,
schedule_0017.csv,0.000549,38.183042,0.279852,,,,,
schedule_0018.csv,0.000862,39.156329,0.252531,,,,,
schedule_0019.csv,0.000533,38.263691,0.264001,,,,,
schedule_0020.csv,0.000575,39.366658,0.261245,,,,,
schedule_0021.csv,0.000956,36.93547,0.251098,,,,,
schedule_0022.csv,0.000574,38.266964,0.252087,,,,,
schedule_0023.csv,0.000546,39.181187,0.258589,,,,,
schedule_0024.csv,0.000602,36.862065,0.2752,,,,,
schedule_0025.csv,0.000538,39.456722,0.245486,,,,,
schedule_0026.csv,0.000829,37.73876,0.259302,,,,,
schedule_0027.csv,0.000522,38.497471,0.261625,,,,,
schedule_0028.csv,0.000949,40.321941,0.305493,,,,,
schedule_0029.csv,0.000583,37.923352,0.288162,,,,,
schedule_0030.csv,0.00052,38.541653,0.262379,,,,,
schedule_0031.csv,0.000771,40.335013,0.331969,,,,,
schedule_0032.csv,0.000818,43.393917,0.297589,,,,,
schedule_0033.csv,0.000718,39.969568,0.313969,,,,,
schedule_0034.csv,0.000885,39.989754,0.247364,,,,,
schedule_0035.csv,0.000532,40.421018,0.267204,,,,,
schedule_0036.csv,0.000549,39.286483,0.253127,,,,,
schedule_0037.csv,0.000594,39.116521,0.29236,,,,,
schedule_0038.csv,0.000554,39.714335,0.267912,,,,,
schedule_0039.csv,0.000522,41.628871,0.218576,,,,,
schedule_0040.csv,0.000935,41.465123,0.284689,,,,,
schedule_0041.csv,0.000571,40.777615,0.253731,,,,,
schedule_0042.csv,0.000572,42.084977,0.315558,,,,,
schedule_0043.csv,0.000612,39.984096,0.266716,,,,,
schedule_0044.csv,0.000631,38.159592,0.280527,,,,,
schedule_0045.csv,0.00053,38.526498,0.265547,,,,,
schedule_0046.csv,0.000657,42.042288,0.274786,,,,,
schedule_0047.csv,0.000632,40.268303,0.259811,,,,,
schedule_0048.csv,0.000582,38.6002,0.358588,,,,,
schedule_0049.csv,0.000535,41.875916,0.24862,,,,,
schedule_0050.csv,0.00055,40.691247,0.27282,,,,,
schedule_0051.csv,0.000648,41.569532,0.25503,,,,,
schedule_0052.csv,0.000549,42.584111,0.259706,,,,,
schedule_0053.csv,0.000824,40.839793,0.260548,,,,,
schedule_0054.csv,0.000781,40.33815,0.283742,,,,,
schedule_0055.csv,0.000553,41.91763,0.24329,,,,,
schedule_0056.csv,0.000566,40.839706,0.267752,,,,,
schedule_0057.csv,0.000551,38.585472,0.262512,,,,,
schedule_0058.csv,0.000541,41.902313,0.279856,,,,,
schedule_0059.csv,0.000515,39.624387,0.252741,,,,,
schedule_0060.csv,0.000894,40.419037,0.286844,,,,,
schedule_0061.csv,0.00083,41.018384,0.261227,,,,,
schedule_0062.csv,0.000789,42.173806,0.252837,,,,,
schedule_0063.csv,0.000821,44.249534,0.288052,,,,,
schedule_0064.csv,0.000537,40.804614,0.235137,,,,,
schedule_0065.csv,0.000539,39.19205,0.256676,,,,,
schedule_0066.csv,0.000772,40.464612,0.364109,,,Best,Worst,Average
schedule_0067.csv,0.000761,40.042989,0.277521,,Greedy,0.000515,0.001197,0.00063697
schedule_0068.csv,0.00058,40.469846,0.251627,,Ant Colony,33.607942,44.249534,39.94312742
schedule_0069.csv,0.000581,39.419408,0.275937,,Dynamic,0.208477,0.388813,0.27001891
schedule_0070.csv,0.00055,40.436351,0.288427,,,,,
schedule_0071.csv,0.000795,40.367991,0.264788,,,,,
schedule_0072.csv,0.00053,41.830458,0.270099,,,,,
schedule_0073.csv,0.000558,41.011267,0.260015,,,,,
schedule_0074.csv,0.000548,40.47976,0.258872,,,,,
schedule_0075.csv,0.000558,41.410164,0.252542,,,,,
schedule_0076.csv,0.000532,41.303198,0.321161,,,,,
schedule_0077.csv,0.000777,41.372347,0.303192,,,,,
schedule_0078.csv,0.000571,41.236534,0.292202,,,,,
schedule_0079.csv,0.000534,41.989699,0.260163,,,,,
schedule_0080.csv,0.000533,42.933818,0.237804,,,,,
schedule_0081.csv,0.000536,41.288522,0.270404,,,,,
schedule_0082.csv,0.000573,40.797097,0.256932,,,,,
schedule_0083.csv,0.000548,40.830892,0.262724,,,,,
schedule_0084.csv,0.00052,38.607841,0.359187,,,,,
schedule_0085.csv,0.000782,40.6384,0.274842,,,,,
schedule_0086.csv,0.000532,42.555652,0.269738,,,,,
schedule_0087.csv,0.000555,42.132484,0.250144,,,,,
schedule_0088.csv,0.000574,41.324673,0.250109,,,,,
schedule_0089.csv,0.000662,43.38664,0.304741,,,,,
schedule_0090.csv,0.00055,40.10739,0.263129,,,,,
schedule_0091.csv,0.000571,40.950734,0.259366,,,,,
schedule_0092.csv,0.000612,40.732882,0.257159,,,,,
schedule_0093.csv,0.00078,42.250187,0.26879,,,,,
schedule_0094.csv,0.000697,40.816242,0.258513,,,,,
schedule_0095.csv,0.000551,39.794524,0.248785,,,,,
schedule_0096.csv,0.000543,40.684844,0.256282,,,,,
schedule_0097.csv,0.000683,40.944901,0.257986,,,,,
schedule_0098.csv,0.000837,39.944313,0.252906,,,,,
schedule_0099.csv,0.000689,41.414824,0.271068,,,,,
schedule_0100.csv,0.000525,40.055782,0.260601,,,,,
,Greedy,Ant Colony,Dynamic,,,,,
,0.04398827,0.38307257,1,,,,,
,0.365102639,0.811753354,0.388164315,,,,,
,0.353372434,0.294466843,0.251347485,,,,,
,0.470674487,0.477316176,0.227813637,,,,,
,0.080645161,0.176647254,0.198152338,,,,,
,0.061583578,0.513263899,0.193161654,,,,,
,0.04398827,0.2532544,0.172195236,,,,,
,0.096774194,0.204973372,0.071821489,,,,,
,0.083577713,0.300865885,0.193128383,,,,,
,0.048387097,0.568402641,0.115867048,,,,,
,0.004398827,0.222091864,0.324078387,,,,,
,0.019061584,0.267423615,0.358253482,,,,,
,1,0.397927209,0.205594002,,,,,
,0.057184751,0,0.618883639,,,,,
,0.032258065,0.191684195,0.671840342,,,,,
,0.363636364,0.525611206,0,,,,,
,0.049853372,0.429926274,0.395788972,,,,,
,0.508797654,0.521386932,0.244288439,,,,,
,0.026392962,0.437504933,0.307891935,,,,,
,0.08797654,0.541151737,0.292609351,,,,,
,0.646627566,0.312690808,0.236342161,,,,,
,0.086510264,0.4378125,0.241826369,,,,,
,0.045454545,0.52372286,0.277881288,,,,,
,0.127565982,0.305792874,0.36999268,,,,,
,0.03372434,0.549615133,0.205222474,,,,,
,0.460410557,0.388176694,0.281835019,,,,,
,0.01026393,0.459473451,0.294716529,,,,,
,0.636363636,0.630920543,0.53797356,,,,,
,0.099706745,0.405522971,0.441869621,,,,,
,0.007331378,0.463625273,0.298897613,,,,,
,0.375366569,0.63214893,0.684788395,,,,,
,0.444281525,0.919596899,0.494144264,,,,,
,0.297653959,0.597807734,0.584974714,,,,,
,0.542521994,0.599704631,0.215636368,,,,,
,0.024926686,0.640230898,0.325653225,,,,,
,0.049853372,0.53361762,0.247593381,,,,,
,0.115835777,0.517646138,0.46514839,,,,,
,0.057184751,0.573823259,0.32957923,,,,,
,0.01026393,0.753733934,0.05600102,,,,,
,0.615835777,0.738346387,0.422611126,,,,,
,0.082111437,0.67374064,0.250942685,,,,,
,0.083577713,0.796594626,0.593786044,,,,,
,0.142228739,0.599172943,0.322947165,,,,,
,0.170087977,0.427722657,0.399531985,,,,,
,0.021994135,0.462201144,0.316464821,,,,,
,0.208211144,0.792583102,0.367696966,,,,,
,0.171554252,0.625880131,0.284657528,,,,,
,0.098240469,0.469126988,0.832396194,,,,,
,0.029325513,0.776948975,0.222601145,,,,,
,0.051319648,0.665624561,0.356795094,,,,,
,0.195014663,0.748157794,0.258145905,,,,,
,0.049853372,0.843498698,0.284075282,,,,,
,0.453079179,0.679583562,0.288744344,,,,,
,0.390029326,0.632443717,0.417359817,,,,,
,0.055718475,0.780868878,0.193045205,,,,,
,0.074780059,0.679575387,0.328691997,,,,,
,0.052785924,0.467742984,0.299635126,,,,,
,0.038123167,0.779429525,0.395811153,,,,,
,0,0.565370764,0.245452932,,,,,
,0.555718475,0.640044741,0.434561042,,,,,
,0.461876833,0.69636592,0.292509538,,,,,
,0.401759531,0.804941967,0.245985272,,,,,
,0.448680352,1,0.441259649,,,,,
,0.032258065,0.67627776,0.147835152,,,,,
,0.035190616,0.524743666,0.267273312,,,,,
,0.376832845,0.644327465,0.863011268,,,,,
,0.360703812,0.604707172,0.3828631,,,,,
,0.095307918,0.644819309,0.239275574,,,,,
,0.096774194,0.546108703,0.374079496,,,,,
,0.051319648,0.641671754,0.4433391,,,,,
,0.410557185,0.635247903,0.312256011,,,,,
,0.021994135,0.772677246,0.341706592,,,,,
,0.063049853,0.695697129,0.28578875,,,,,
,0.048387097,0.645750937,0.279450581,,,,,
,0.063049853,0.73318184,0.244349437,,,,,
,0.024926686,0.723130148,0.624855825,,,,,
,0.384164223,0.729628142,0.525214045,,,,,
,0.082111437,0.716865672,0.464272247,,,,,
,0.027859238,0.787641266,0.28660944,,,,,
,0.026392962,0.876360981,0.162624213,,,,,
,0.030791789,0.721751031,0.34339788,,,,,
,0.085043988,0.675571381,0.268692884,,,,,
,0.048387097,0.678747127,0.300810709,,,,,
,0.007331378,0.469845019,0.835717771,,,,,
,0.391495601,0.66065848,0.368007497,,,,,
,0.024926686,0.84082438,0.339704773,,,,,
,0.058651026,0.801058902,0.231052036,,,,,
,0.086510264,0.725148173,0.230857954,,,,,
,0.215542522,0.918913072,0.533803567,,,,,
,0.051319648,0.610758992,0.303056517,,,,,
,0.082111437,0.690008788,0.282189912,,,,,
,0.142228739,0.669537039,0.269951646,,,,,
,0.38856305,0.812119559,0.334447919,,,,,
,0.26686217,0.677370454,0.277459853,,,,,
,0.052785924,0.581358691,0.223516103,,,,,
,0.041055718,0.665022865,0.265088501,,,,,
,0.246334311,0.689460656,0.27453753,,,,,
,0.472140762,0.595434499,0.246367891,,,,,
,0.255131965,0.733619744,0.347079895,,,,,
,0.014662757,0.605909341,0.28903824,,,,,
